587.49,2.95,30.21,9.78,295.4538,25.11,1.16,29.1276,25/10/2016 18:32
584.74,3.09,29.19,12.44,363.1236,26.79,-17.16,-459.7164,25/10/2016 18:34
586.2,3.08,29.7,12.21,362.637,26.42,-15.93,-420.8706,25/10/2016 18:35
457.81,3.08,27.67,9.05,250.4135,25.06,-2.82,-70.6692,25/10/2016 18:36
585.24,2.94,29.7,13.79,409.563,27.31,-23.61,-644.7891,25/10/2016 18:37
586.52,2.94,27.67,8.59,237.6853,24.8,3.46,85.808,25/10/2016 18:38
585.55,3.06,27.67,9.22,255.1174,25.17,-3.38,-85.0746,25/10/2016 18:39
474.43,3.07,27.67,8.82,244.0494,24.9,-8.37,-208.413,25/10/2016 18:40
588.08,3.08,27.67,8.65,239.3455,24.8,3.57,88.536,25/10/2016 18:41
584.67,3.08,27.67,8.59,237.6853,24.8,2.62,64.976,25/10/2016 18:42
588.79,3.12,27.67,8.82,244.0494,24.8,3.29,81.592,25/10/2016 18:44
591.38,2.97,27.67,8.82,244.0494,24.9,-0.75,-18.675,25/10/2016 18:45
591.87,3.1,29.7,13.85,411.345,26.94,-17.16,-462.2904,25/10/2016 18:46
588.71,3.07,27.16,8.76,237.9216,24.9,1.55,38.595,25/10/2016 18:47
588.83,3.11,27.67,8.65,239.3455,24.85,1.72,42.742,25/10/2016 18:48
590.59,2.95,29.19,12.49,364.5831,26.79,-14.31,-383.3649,25/10/2016 18:49
591.24,2.94,29.19,13.06,381.2214,27.05,-17.33,-468.7765,25/10/2016 18:50
591.84,3.1,27.67,9.16,253.4572,25.11,-1.7,-42.687,25/10/2016 18:51
589.94,2.94,28.18,10.06,283.4908,25.53,-9.04,-230.7912,25/10/2016 18:53
593.64,3.08,27.67,9.33,258.1611,24.9,3.23,80.427,25/10/2016 18:54
592.58,3.1,29.19,12.49,364.5831,26.79,-16.27,-435.8733,25/10/2016 18:55
591.31,3.08,29.7,13.91,413.127,26.89,-16.32,-438.8448,25/10/2016 18:56
572.27,2.94,28.68,11.7,335.556,26.21,-2.48,-65.0008,25/10/2016 18:57
594.57,3.09,30.72,10.35,317.952,25.27,0.93,23.5011,25/10/2016 18:58
595.18,3.09,29.7,13.57,403.029,26.84,-18.12,-486.3408,25/10/2016 18:59
594.81,3.06,28.68,11.76,337.2768,26.37,-14.92,-393.4404,25/10/2016 19:00
556.74,2.95,29.7,14.13,419.661,26.89,-17.28,-464.6592,25/10/2016 19:02
593.12,3.12,27.67,8.42,232.9814,24.48,3.12,76.3776,25/10/2016 19:03
595.73,3.1,28.68,12.44,356.7792,26.05,-4.72,-122.956,25/10/2016 19:04
594.66,2.95,27.67,8.99,248.7533,24.9,1.72,42.828,25/10/2016 19:05
529.95,3.1,29.19,13.28,387.6432,27,-10.94,-295.38,25/10/2016 19:06
595.63,2.96,27.67,9.05,250.4135,24.96,3.85,96.096,25/10/2016 19:07
594.93,3.04,27.67,8.99,248.7533,24.96,1.66,41.4336,25/10/2016 19:08
593.56,3.09,27.67,8.88,245.7096,24.9,2.5,62.25,25/10/2016 19:09
460.99,2.94,28.18,9.78,275.6004,25.43,1.94,49.3342,25/10/2016 19:11
596.21,3.09,28.18,9.67,272.5006,25.32,-3.77,-95.4564,25/10/2016 19:12
592.14,3.08,27.67,9.55,264.2485,25.17,3.46,87.0882,25/10/2016 19:13
590.7,3.09,27.67,9.05,250.4135,24.9,3.74,93.126,25/10/2016 19:14
541.33,2.95,27.67,8.59,237.6853,24.8,3.68,91.264,25/10/2016 19:15
596.78,3.09,27.67,8.99,248.7533,25.01,1.83,45.7683,25/10/2016 19:16
594.76,3.09,30.21,13.96,421.7316,27.47,-16.72,-459.2984,25/10/2016 19:17
593.83,3.09,27.67,9.22,255.1174,25.06,-0.24,-6.0144,25/10/2016 19:18
358.54,3.06,27.67,8.82,244.0494,24.85,3.62,89.957,25/10/2016 19:20
598.54,2.94,29.7,13.34,396.198,26.89,-16.94,-455.5166,25/10/2016 19:21
599.11,2.95,27.67,8.93,247.0931,24.9,3.4,84.66,25/10/2016 19:22
599.26,3.11,28.68,11.08,317.7744,26.05,-12.79,-333.1795,25/10/2016 19:23
600.34,2.95,32.24,11.42,368.1808,25.95,-1.14,-29.583,25/10/2016 19:24
600,3.09,29.7,14.41,427.977,27.05,-19.18,-518.819,25/10/2016 19:25
601.49,2.95,27.67,8.93,247.0931,24.96,2.56,63.8976,25/10/2016 19:26
471.16,3.04,27.67,8.93,247.0931,24.96,3.06,76.3776,25/10/2016 19:27
602.46,3.05,27.67,9.55,264.2485,25.22,-1.14,-28.7508,25/10/2016 19:28
603.18,2.92,28.18,9.72,273.9096,25.32,-12.29,-311.1828,25/10/2016 19:30
601.5,3.12,27.67,9.78,270.6126,25.17,3.34,84.0678,25/10/2016 19:31
605.16,2.92,29.19,12.83,374.5077,26.74,-8.42,-225.1508,25/10/2016 19:32
604.92,3.09,29.19,12.1,353.199,26.58,-23.33,-620.1114,25/10/2016 19:33
601.83,3.05,29.7,14.19,421.443,27.47,-16.1,-442.267,25/10/2016 19:34
420.76,3.08,28.18,10.18,286.8724,25.53,-6.35,-162.1155,25/10/2016 19:35
604.26,2.95,27.16,9.78,265.6248,25.17,3.85,96.9045,25/10/2016 19:36
604.08,3.08,27.67,8.99,248.7533,24.96,4.35,108.576,25/10/2016 19:37
601.41,3.08,27.67,10.85,300.2195,25.74,0.88,22.6512,25/10/2016 19:39
456.45,3.08,28.68,10.91,312.8988,25.95,-11.39,-295.5705,25/10/2016 19:40
605.99,3.09,33.26,11.36,377.8336,26.26,-2.54,-66.7004,25/10/2016 19:41
604.27,3.08,28.18,11.02,310.5436,25.58,0.93,23.7894,25/10/2016 19:42
605.34,2.95,28.18,10.63,299.5534,25.43,1.78,45.2654,25/10/2016 19:43
383.14,3.05,27.67,9.1,251.797,24.96,-7.25,-180.96,25/10/2016 19:44
607.68,3.11,30.21,13.85,418.4085,27.26,-18.17,-495.3142,25/10/2016 19:45
605.99,2.94,29.7,13.68,406.296,27.21,-25.06,-681.8826,25/10/2016 19:46
605.07,2.93,28.18,9.55,269.119,25.17,-0.13,-3.2721,25/10/2016 19:47
608.55,3.13,28.68,11.19,320.9292,26.05,-11.34,-295.407,25/10/2016 19:49
607.23,3.09,30.21,14.24,430.1904,27.47,-18.34,-503.7998,25/10/2016 19:50
609.22,3.09,28.18,9.67,272.5006,25.27,-0.69,-17.4363,25/10/2016 19:51
